;Handelsplatz;Letzter; Veränderung;Vortag;letzte Stk.;Tag-Stk.;Kursspanne;Zeit
;L&S RT ;0,17€ ;+6,25% ;0,16 € ;0 ; 0 ;0,164- 0,20 ;20:37:39
;Frankfurt ;0,17€ ;+3,65% ;0,164 €; 60.000 ; 243.400 ;0,164 - 0,17 ;19:29:53
;München ;0,173€ ;+4,21% ;0,166 € ;0 ; 30.000 ;0,166 - 0,173 ;20:12:34
;Stuttgart ;0,157€ ; +1,29% ;0,155 € ;4.000 ;4.000 ;0,157 - 0,168 ;20:07:32
;XETRA ;0,18€ ;-3,22% ;0,186 € ;2.499 ; 2.499 ;0,18- 0,18 ;13:35:50
;Nasdaq OTC Other ;0,23$ ;0,00%; 0,23 $ ;700 ;700 ;- --; 09:43:52
;Berlin ;0,16€ ; 0,00% ; 0,16 € ;0 ;0 ; 0,16- 0,16 ;08:47:42
;Düsseldorf ;0,163€ ; +1,24%; 0,161 € ;0 ;0 ; 0,163- 0,163 ;09:07:58
